index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
21857	Dactylis glomerata	2284554	159	Seedbank type	Seedbank type	transient	
21893	Dactylis glomerata	2284556	2807	Seedbank number of layers	Seedbank number of layers	2.0	1/plant
22304	Trifolium pratense	2310794	159	Seedbank type	Seedbank type	long-term persistent	
22488	Trifolium pratense	2310807	1111	Seedbank density	Seedbank density	24.0	1/m2
22544	Trifolium pratense	2310811	2807	Seedbank number of layers	Seedbank number of layers	6.0	1/plant
22545	Trifolium pratense	2310811	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	80.0	mm
22596	Trifolium pratense	2310815	33	Seed (seedbank) longevity	Seed longevity (max possible)	6.0	year
22622	Trifolium pratense	2310817	2809	Seedbank duration	Seedbank duration (month)	24.0	month
22669	Trifolium pratense	2310820	1111	Seedbank density	Seedbank density	7.0	1/m2
22733	Trifolium pratense	2310824	1111	Seedbank density	Seedbank density	440.0	1/m2
22985	Trifolium pratense	2310840	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
23034	Trifolium pratense	2310843	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	50.0	mm
23144	Trifolium pratense	2310851	159	Seedbank type	Seedbank type	present	
23697	Trifolium pratense	2310889	159	Seedbank type	Seedbank type	transient	
23769	Trifolium pratense	2310893	1111	Seedbank density	Seedbank density	0.0	1/m2
24005	Trifolium pratense	2310908	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
24025	Trifolium pratense	2310909	1111	Seedbank density	Seedbank density	0.0	1/m2
24217	Trifolium pratense	2310921	1111	Seedbank density	Seedbank density	0.0	1/m2
24233	Trifolium pratense	2310922	1111	Seedbank density	Seedbank density	0.0	1/m2
24249	Trifolium pratense	2310923	1111	Seedbank density	Seedbank density	0.0	1/m2
24313	Trifolium pratense	2310927	1111	Seedbank density	Seedbank density	0.0	1/m2
24609	Trifolium pratense	2310946	159	Seedbank type	Seedbank type	transient	
