trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
sessile base narrowly attenuate,0.2915023895073704,0.07533289879032756,,1.0,0.7493545635484788,0.9805481874447391,0.9052152886544116,0.9901785714285715,0.819943874408099,4524
sessile or subsessile,0.2880571169457199,0.07711132654105457,,1.0,0.7606386445096123,0.9864406779661017,0.9093293514250471,0.9931740614334471,0.8283644320903688,295
solitary in leaf axils,0.278745224689645,0.06449422058310028,,1.0,0.75397702535249,0.9717277486910995,0.9072335281079992,0.9856611789697292,0.823535867139774,2865
sometimes alternate distally,0.3010644418872267,0.09042319140675559,,1.0,0.7612894141094659,1.0,0.9095768085932444,1.0,0.8288529462058719,40
sometimes creeping,0.2699848484848485,0.059224462957684465,,1.0,0.7610720209894077,0.96875,0.9095255370423155,0.9841269841269841,0.8287028019289453,128
sprawling or ascending,0.27926090581756635,0.06238994449982649,,1.0,0.7487458956585188,0.9681382757184507,0.9057483312186242,0.9838112369061475,0.8197977780551742,4802
stamens 10-12,0.3009915228580079,0.09038575974748386,,1.0,0.7613721265145691,1.0,0.9096142402525161,1.0,0.8289175090625092,8
stamens 10-14,-0.24450235108118984,,0.05840798665554475,0.0,0.7691205582229611,,0.9096235933255724,,0.8334923522753537,2025
stamens 12,-0.21555310871307365,0.052683085885539827,-0.009317588398043919,0.3767253044654939,0.7948476539054501,0.9603311486719558,0.907648062786416,0.5411604626299932,0.8475110112810731,14569
stamens 2-3,0.3012605869608036,0.09052394278606968,,1.0,0.7610668401366075,1.0,0.9094760572139303,1.0,0.8286791918261823,126
stamens 4-6,0.2712434756666824,0.06018653431245191,,1.0,0.7604851593831172,0.9695290858725761,0.9093425515601242,0.9845288326300984,0.8282788825757575,361
stamens 5-8,0.2818386456890646,0.06578764162291106,,1.0,0.7502125199768779,0.9717912552891397,0.9060036136662286,0.9856938483547926,0.8207808634512007,4254
stamens 6,0.17636199200109537,-0.056981569750830796,,1.0,0.7341969099395738,0.8607341287913289,0.9177156985421597,0.9251554163199374,0.8157623189182669,10979
stamens 8,0.3010006358048988,0.09039043701001315,,1.0,0.7613617905987071,1.0,0.9096095629899869,1.0,0.8289094413694319,12
subsessile,0.28453960655562993,0.06557007099187862,,1.0,0.7441636386854111,0.9697536638603056,0.904183592868427,0.9846446097831248,0.8164063246241332,6414
usually with a darker midrib,0.26357070748948264,0.052388994255359034,,1.0,0.7602845519611896,0.9617117117117117,0.9093227174563526,0.9804822043628014,0.8281516587677725,444
with flowers in whorled clusters,-0.3302539892973021,-0.9100238107562503,0.002756496004111375,0.0,0.8099208771465097,0.0,0.9100238107562503,,0.8570592859362717,13729
