id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
9395202,2017-05-19,research,52720,Dactylis glomerata,orchard grass,42.275737,-122.806613,"Jackson, Oregon, United States",Fruiting
25342590,2017-05-19,research,52720,Dactylis glomerata,orchard grass,38.915245,-77.2222666667,"8042 Leesburg Pike, Mc Lean, VA, US",Flowering
40076806,2017-06-05,research,52720,Dactylis glomerata,orchard grass,39.49249664,-76.69285297,Baltimore,Flowering
40076807,2017-05-25,research,52720,Dactylis glomerata,orchard grass,39.14587438,-76.83786392,Howard,Flowering
7055020,2017-07-13,research,52720,Dactylis glomerata,orchard grass,44.4068133333,-121.75077,"Deschutes National Forest, Camp Sherman, OR, US",Fruiting
7224918,2017-07-22,research,52720,Dactylis glomerata,orchard grass,39.8870883333,-83.2208116667,"Battelle Darby Creek Metro Park, Grove City, OH, US",Fruiting
7322118,2017-08-01,research,52720,Dactylis glomerata,orchard grass,46.5483458061,-121.7549389881,"226 Stover Rd, Randle, WA, US",Fruiting
7425678,2017-08-09,research,52720,Dactylis glomerata,orchard grass,42.689568121,-112.3595854362,"Caribou National Forest, McCammon, ID, US",Fruiting
7476170,2017-08-13,research,52720,Dactylis glomerata,orchard grass,38.8357611156,-78.2037454081,"Shenandoah National Park, Front Royal, VA, US",Fruiting
7939615,2017-09-15,research,52720,Dactylis glomerata,orchard grass,41.0048454814,-73.5747574177,"Greenwich Point Park, Greenwich, CT, US",Fruiting
8052527,2017-09-23,research,52720,Dactylis glomerata,orchard grass,41.15343454,-81.30962643,"5970-6026 Powder Mill Rd, Kent, OH 44240, USA",Fruiting
8053154,2017-09-23,research,52720,Dactylis glomerata,orchard grass,38.9910383333,-76.92183,"Indian Creek Park, College Park, MD, US",Fruiting
8240244,2017-09-26,research,52720,Dactylis glomerata,orchard grass,43.3989361732,-80.0672543049,"Flamborough, Hamilton, ON, Canada",Fruiting
8255967,2017-10-03,research,52720,Dactylis glomerata,orchard grass,43.3944429114,-80.06155461,"Flamborough, Hamilton, ON, Canada",No Evidence of Flowering
8433836,2017-10-03,research,52720,Dactylis glomerata,orchard grass,43.3946923833,-80.063645392,"Flamborough, Hamilton, ON, Canada",No Evidence of Flowering
8507693,2017-10-22,research,52720,Dactylis glomerata,orchard grass,44.3771811342,-72.9107872211,"Waterbury, VT  05676, Bolton, VT, US",Fruiting
8598059,2017-10-26,research,52720,Dactylis glomerata,orchard grass,37.956512,-122.574178,"Natalie Coffin Greene Park, Marin County, US-CA, US",Fruiting
8604650,2017-10-26,research,52720,Dactylis glomerata,orchard grass,37.9576416667,-122.5728916667,"551–699 Lagunitas Rd, San Anselmo, CA, US",Fruiting
8698229,2017-11-04,research,52720,Dactylis glomerata,orchard grass,42.8144842107,-73.4049727489,"4 N Shore Rd, Grafton, NY, US",Fruiting
8824592,2017-11-15,research,52720,Dactylis glomerata,orchard grass,34.7731456,-86.7927781,"Capshaw, AL 35749, USA",Fruiting
9038824,2017-12-03,research,52720,Dactylis glomerata,orchard grass,47.6612120329,-122.4179871082,"Magnolia, Seattle, WA 98199, USA",Fruiting
9091734,2017-12-08,research,52720,Dactylis glomerata,orchard grass,40.82107601,-73.94757242,"100-348 St Nicholas Terrace, New York, NY 10032, USA",Fruiting
9118823,2017-12-08,research,52720,Dactylis glomerata,orchard grass,47.6725806355,-122.3039754002,"Northeast Seattle, Seattle, WA, USA",Fruiting
9260684,2017-12-25,research,52720,Dactylis glomerata,orchard grass,57.05088148,-135.32674954,"Sitka County, US-AK, US",Fruiting
9285265,2017-12-28,research,52720,Dactylis glomerata,orchard grass,41.827016,-87.888953,Salt Creek Woods,Fruiting
9372198,2017-12-18,research,52720,Dactylis glomerata,orchard grass,40.3644982113,-74.7944498062,"Hopewell Township, NJ, USA",Fruiting
9410805,2017-12-29,research,52720,Dactylis glomerata,orchard grass,40.6201256088,-74.5628678799,"Warren, NJ 07059, USA",Fruiting
9438374,2018-01-10,research,52720,Dactylis glomerata,orchard grass,40.664528142,-74.6461840852,"Bedminster Township, NJ, USA",Fruiting
9442661,2018-01-11,research,52720,Dactylis glomerata,orchard grass,40.6254187679,-74.2471504211,"Linden, NJ, USA",Fruiting
9459810,2018-01-13,research,52720,Dactylis glomerata,orchard grass,43.9014499708,-79.7260541841,"13602-14030 Caledon King Townline S, Palgrave, ON L0N 1P0, Canada",Fruiting
9496373,2018-01-05,research,52720,Dactylis glomerata,orchard grass,47.6565277778,-122.4206388889,"Magnolia, Seattle, WA 98199, USA",Fruiting
9589258,2018-01-23,research,52720,Dactylis glomerata,orchard grass,47.4185523987,-122.0457763672,"20532 223rd Pl SE, Maple Valley, WA 98038, USA",Fruiting
9644651,2018-01-28,research,52720,Dactylis glomerata,orchard grass,44.3977109297,-72.7224929631,"27–383 Cabin Ln, Waterbury, VT, US",Fruiting
9687263,2018-01-30,research,52720,Dactylis glomerata,orchard grass,40.7250146924,-74.418554306,"Chatham Township, NJ, USA",Fruiting
9721587,2018-02-03,research,52720,Dactylis glomerata,orchard grass,47.5000008569,-122.2147308012,"N Riverside Dr, Renton, WA, US",Flower Budding
9723943,2018-02-02,research,52720,Dactylis glomerata,orchard grass,40.6120303359,-74.5779848099,"Martinsville, Bridgewater, NJ, USA",Fruiting
9757991,2018-02-04,research,52720,Dactylis glomerata,orchard grass,40.6002032849,-74.5306491852,"Warren, NJ 07059, USA",Fruiting
9767580,2018-02-07,research,52720,Dactylis glomerata,orchard grass,41.813297,-88.045575,"Dupage County, IL, USA",Fruiting
9786382,2018-02-06,research,52720,Dactylis glomerata,orchard grass,38.7739694167,-123.5372847778,"Gualala, CA 95445, USA",Fruiting
9828843,2018-02-05,research,52720,Dactylis glomerata,orchard grass,40.3820062015,-74.7415566444,"Hopewell Township, NJ, USA",Fruiting
9873052,2018-02-11,research,52720,Dactylis glomerata,orchard grass,40.5747175136,-74.8288464546,"Hunterdon County, NJ, USA",Fruiting
9915405,2018-02-18,research,52720,Dactylis glomerata,orchard grass,38.7770783333,-77.8011033333,"6712 Blantyre Rd, Warrenton, VA, US",Fruiting
10050293,2018-03-01,research,52720,Dactylis glomerata,orchard grass,47.4370030556,-122.0934541667,"Maple Heights-Lake Desire, WA 98058, USA",Fruiting
10057825,2018-02-13,research,52720,Dactylis glomerata,orchard grass,40.6730871457,-74.4799232483,"Stirling, Long Hill, NJ, USA",Fruiting
10066847,2018-02-21,research,52720,Dactylis glomerata,orchard grass,40.5580911263,-74.526014328,"South Bound Brook, NJ, USA",Fruiting
10086510,2018-02-12,research,52720,Dactylis glomerata,orchard grass,40.5416236731,-74.8498106003,"Hunterdon County, NJ, USA",Fruiting
10174304,2018-03-10,research,52720,Dactylis glomerata,orchard grass,42.00368996,-87.78178459,"6800 N Caldwell Ave, Chicago, IL 60646, USA",Fruiting
10196027,2018-03-11,research,52720,Dactylis glomerata,orchard grass,45.3656995018,-84.9349507783,"779–1001 McDougal Rd, Petoskey, MI, US",Fruiting
10313392,2018-03-19,research,52720,Dactylis glomerata,orchard grass,40.7012266667,-124.20212,"7707 Tompkins Hill Rd, Eureka, CA 95501, USA",Flower Budding
10365536,2018-03-22,research,52720,Dactylis glomerata,orchard grass,36.9851025241,-86.4486403485,"1504 Chestnut St, Bowling Green, KY, US",No Evidence of Flowering
10391999,2018-03-23,research,52720,Dactylis glomerata,orchard grass,38.782445,-77.7864083333,"6500 Blantyre Rd, Warrenton, VA, US",No Evidence of Flowering
10529154,2018-03-31,research,52720,Dactylis glomerata,orchard grass,37.81351439,-122.37022582,"267 Treasure Island Rd, San Francisco, CA 94130, USA",Fruiting
10539203,2018-03-31,research,52720,Dactylis glomerata,orchard grass,41.6749566667,-87.87326,"Illinois and Michigan Canal National Heritage Corridor, Cook, Illinois, United States",Fruiting
10626187,2018-03-21,research,52720,Dactylis glomerata,orchard grass,43.6032843623,-116.9178255254,"4059 Pioneer Rd, Homedale, ID 83628, USA",Fruiting
11286757,2018-03-06,research,52720,Dactylis glomerata,orchard grass,40.6614155524,-74.5932156119,"Liberty Corner, Bernards, NJ 07920, USA",Fruiting
18434466,2018-02-17,research,52720,Dactylis glomerata,orchard grass,47.308274,-122.524019,Point Defiance Park,Fruiting
10817115,2018-04-12,research,52720,Dactylis glomerata,orchard grass,41.7546632641,-86.6031521124,"10144 N 500 E, La Porte, IN, US",No Evidence of Flowering
11429033,2018-04-25,research,52720,Dactylis glomerata,orchard grass,45.7285455941,-122.6374373866,"WSU Entrance Rd, Vancouver, WA, US",Flower Budding
11819212,2018-04-29,research,52720,Dactylis glomerata,orchard grass,40.720986547,-111.8437352871,"Sugar House Park, Salt Lake City, UT, US",No Evidence of Flowering
11824269,2018-04-29,research,52720,Dactylis glomerata,orchard grass,48.1199282594,-122.7934974433,"1441 Hastings Ave, Port Townsend, WA, US",Fruiting
11900673,2018-04-30,research,52720,Dactylis glomerata,orchard grass,32.3478009823,-97.3885807929,"Johnson County, US-TX, US",Flowering
11906697,2018-04-30,research,52720,Dactylis glomerata,orchard grass,38.7861289978,-77.3004302979,"6001-6107 Heron Pond Ct, Burke, VA 22015, USA",Flower Budding
12271122,2018-05-08,research,52720,Dactylis glomerata,orchard grass,40.8152664872,-73.9500832,"City College of NY South Campus, New York, NY, US",Flower Budding
12281324,2018-05-08,research,52720,Dactylis glomerata,orchard grass,40.30505,-74.6845783333,"874–890 Quaker Rd, Princeton, NJ, US",Flower Budding
12313929,2018-05-09,research,52720,Dactylis glomerata,orchard grass,49.1644832071,-123.1157789279,"6611 No 4 Rd, Richmond, BC, CA",Flower Budding
12328177,2018-05-10,research,52720,Dactylis glomerata,orchard grass,37.1712194151,-75.9692732804,"30000–30084 Lankford Hwy, Cape Charles, VA, US",Flower Budding
12447832,2018-05-14,research,52720,Dactylis glomerata,orchard grass,39.2259381619,-76.7435530108,"6555 Belmont Woods Rd, Elkridge, MD, US",Flower Budding
12468888,2018-05-13,research,52720,Dactylis glomerata,orchard grass,38.4794425964,-90.8061141968,"Nursery Rd, Pacific, MO 63069, USA",Flower Budding
12480469,2018-05-15,research,52720,Dactylis glomerata,orchard grass,39.2270166614,-76.7488342804,"Elkridge, MD  21075, Elkridge, MD, US",Flowering
12712566,2018-05-22,research,52720,Dactylis glomerata,orchard grass,38.638325762,-90.3019662761,"1 Arundel Pl, St. Louis, MO, US",Flowering
12767640,2018-05-24,research,52720,Dactylis glomerata,orchard grass,40.2326464119,-80.2163379962,"Chartiers-Houston Jr./Sr. High School, Houston, PA, US",Flower Budding
12795792,2018-05-25,research,52720,Dactylis glomerata,orchard grass,40.5217108224,-78.9239192941,"900–998 Hagens Rd, Homer City, PA, US",Flower Budding
12861693,2018-05-27,research,52720,Dactylis glomerata,orchard grass,41.5324098473,-88.0229343474,"Joliet, IL, USA",Flowering
12896926,2018-05-28,research,52720,Dactylis glomerata,orchard grass,37.4848381291,-122.2923675087,"94070, San Carlos, CA, US",Flowering
12943383,2018-05-29,research,52720,Dactylis glomerata,orchard grass,41.6618503165,-112.0458333661,"Cache National Forest, Deweyville, UT, US",Flower Budding
13009286,2018-06-01,research,52720,Dactylis glomerata,orchard grass,42.483671112,-76.3708890696,"Freeville, NY  13068, Freeville, NY, US",Flower Budding
13017669,2018-06-01,research,52720,Dactylis glomerata,orchard grass,44.3627543181,-78.2827623643,"Peterborough, ON, Canada",Fruiting
13107791,2018-05-29,research,52720,Dactylis glomerata,orchard grass,44.1333891421,-124.1236155552,"Heceta Head Lighthouse State Scenic Viewpoint, Florence, OR, US",Flowering
13117196,2018-06-04,research,52720,Dactylis glomerata,orchard grass,41.1481853296,-73.9753548895,"Clarkstown North Senior HS, New City, NY, US",Flowering
13158600,2018-06-05,research,52720,Dactylis glomerata,orchard grass,47.670825,-122.3062666667,"King, Washington, United States",Flowering
13164350,2018-06-05,research,52720,Dactylis glomerata,orchard grass,37.0209642761,-122.0785529217,"Santa Cruz County, CA, USA",Flowering
13209680,2018-06-07,research,52720,Dactylis glomerata,orchard grass,46.7426779193,-116.9857972605,"Moscow, ID, USA",Flowering
13229835,2018-06-08,research,52720,Dactylis glomerata,orchard grass,41.5377230511,-81.5423375725,"Ohio, US",Flowering
13332285,2018-06-11,research,52720,Dactylis glomerata,orchard grass,43.8282725472,-79.418872321,"York, CA-ON, CA",Flowering
13380008,2018-06-12,research,52720,Dactylis glomerata,orchard grass,41.251546056,-111.8821141777,"Cache National Forest, Ogden, UT, US",Flowering
13433157,2018-06-14,research,52720,Dactylis glomerata,orchard grass,43.96936,-73.152381,"64 US-7, Middlebury, VT 05753, USA",Flowering
13562441,2018-06-18,research,52720,Dactylis glomerata,orchard grass,43.4926669505,-72.8026348995,"Rutland County, US-VT, US",Flowering
13572903,2018-06-17,research,52720,Dactylis glomerata,orchard grass,44.09189,-93.06342,"Rice Lake State Park, Minnesota",Flowering
13628538,2018-06-20,research,52720,Dactylis glomerata,orchard grass,43.5249128583,-80.518690552,"Waterloo Regional Municipality, ON, Canada",Flowering
13688982,2018-05-20,research,52720,Dactylis glomerata,orchard grass,38.7826283333,-77.0665361667,"Fort Willard Circle, Alexandria, VA, US",Flowering
13690817,2018-05-20,research,52720,Dactylis glomerata,orchard grass,38.7897866667,-77.06115,"Huntington Ave, Alexandria, VA, US",Flowering
13720805,2018-06-23,research,52720,Dactylis glomerata,orchard grass,44.2649812717,-72.5681382884,"18–36 N Franklin St, Montpelier, VT, US",Flowering
13757550,2018-06-24,research,52720,Dactylis glomerata,orchard grass,50.1276333333,-96.9189533333,"186–212 Calder Rd, , MB, CA",Flowering
13775115,2018-06-24,research,52720,Dactylis glomerata,orchard grass,46.7660074507,-92.1351000667,"411 Lincoln Park Dr, Duluth, MN 55806, USA",Flowering
